n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.5,0.8,8,-1,2,HEFT,33524.357496001,3218363.507478416,3.2542457777809534e-06,0.9999994142359311,0.0902729780452014
10,0.5,0.8,8,-1,2,GA,33525.268106007,3218447.206279359,2.7736566778104234e-06,0.9999995007419227,0.03226911388634804
10,0.5,1,8,-1,0,HEFT,33525.547035046,3218480.023501318,3.5540228555166526e-06,0.9999993602760905,0.06833304965784465
10,0.5,1,8,-1,0,GA,33526.382597377,3218559.523402584,3.4617641332766247e-06,0.9999993768826498,0.06150001440665222
10,0.5,1,8,-1,1,HEFT,33526.670115067,3218585.6183701605,3.2670960889744392e-06,0.9999994119228769,0.061592533141959456
10,0.5,1,8,-1,1,GA,33527.596228729,3218673.838527895,3.1783682055700207e-06,0.9999994278938864,0.06343676959148906
10,0.5,1,8,-1,2,HEFT,33527.890029318,3218700.3755095974,2.962880499964942e-06,0.9999994666816524,0.07714959280216023
10,0.5,1,8,-1,2,GA,33528.852343699,3218794.023233666,3.126387411127022e-06,0.9999994372504241,0.05550242737317023
10,0.5,2,8,-1,0,HEFT,33529.079154475,3218821.209355225,3.825649305508705e-06,0.9999993113833618,0.06170074176386497
10,0.5,2,8,-1,0,GA,33529.933594822,3218912.100536918,4.9709863056503105e-06,0.9999991052228653,0.08779540450521174
10,0.5,2,8,-1,1,HEFT,33530.190167198,3218934.0643689483,4.626397666652338e-06,0.9999991672487665,0.07577110859389188
10,0.5,2,8,-1,1,GA,33531.027432972,3219014.7154581957,4.6617432666001455e-06,0.999999160886564,0.09530591073355549
10,0.5,2,8,-1,2,HEFT,33531.289830079,3219042.7928723563,5.034778394433993e-06,0.9999990937402993,0.06106332788468835
10,0.5,2,8,-1,2,GA,33532.113547607,3219117.021776203,4.4084245389563475e-06,0.9999992064838976,0.08895260505691813
10,0.5,4,8,-1,0,HEFT,33532.309297908,3219134.7669684226,4.273174322305648e-06,0.9999992308289177,0.06205564439083041
10,0.5,4,8,-1,0,GA,33533.121095177,3219215.500104759,4.635008755455298e-06,0.9999991656987718,0.09080149390432987
10,0.5,4,8,-1,1,HEFT,33533.379529706,3219239.876644595,4.579042999911407e-06,0.9999991757725997,0.05832512802908581
10,0.5,4,8,-1,1,GA,33534.211039734,3219319.309878058,4.528431988849965e-06,0.9999991848825742,0.08048111478334743
10,0.5,4,8,-1,2,HEFT,33534.38233225,3219333.081027478,4.183091922216894e-06,0.9999992470437373,0.05818468327171155
10,0.5,4,8,-1,2,GA,33535.161992922,3219406.780996604,4.0348418722310775e-06,0.9999992737287264,0.07293254814051453
10,0.8,0.8,8,-1,0,HEFT,33535.432115428,3219428.5509900525,3.49714586106226e-06,0.9999993705139429,0.06501500784422737
10,0.8,0.8,8,-1,0,GA,33536.349931577,3219520.8271245863,4.035360877807964e-06,0.9999992736353056,0.06638706230312141
10,0.8,0.8,8,-1,2,HEFT,33536.641773069,3219543.075596364,3.29010100006902e-06,0.999999407781995,0.07800490941864463
10,0.8,0.8,8,-1,2,GA,33537.536039934,3219628.2886083587,3.2078520277637937e-06,0.9999994225868016,0.054808926153631504
10,0.8,1,8,-1,0,HEFT,33537.825086351,3219652.9080413366,2.803585483262497e-06,0.9999994953547401,0.06993889960293351
10,0.8,1,8,-1,0,GA,33538.756245611,3219742.8563880296,2.8755567666343672e-06,0.9999994823999157,0.029326741359940064
10,0.8,1,8,-1,1,HEFT,33539.065128196,3219778.3332280554,3.6280259999330155e-06,0.9999993469555328,0.09253491187684591
