n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,0.1,0.8,4,-1,0,HEFT,24.06846612152033,3432.813913949535,0.00029425420414942635,0.999947035645914,5.4914084895180455
10,0.1,0.8,4,-1,0,GA,26.089855557045485,3306.150644826113,0.00026535369225942244,0.9999522374760591,8.093396217937864
10,0.1,0.8,8,-1,0,HEFT,17.76946171878974,3146.3808764648184,0.00018611273274689967,0.999966500269234,5.644617314830116
10,0.1,0.8,8,-1,0,GA,20.211661380730227,3490.658163439163,0.0002003021538616358,0.9999639462622566,3.312408331703106
10,0.1,0.8,8,-1,1,HEFT,19.404566421405683,3401.964645966507,0.0001988535231927082,0.9999642070064098,5.353656145301028
10,0.1,0.8,8,-1,1,GA,19.404566421405683,3419.474404178185,0.0002011157658557157,0.9999637998173883,3.7506100268128764
10,0.1,0.8,8,-1,2,HEFT,23.859389900493344,4393.615447730252,0.00027172015727169136,0.9999510915677475,7.01661414056267
10,0.1,0.8,8,-1,2,GA,23.859389900493344,4409.048461521449,0.0002737140867020786,0.999950732678068,5.622802331912812
10,0.1,0.8,16,-1,0,HEFT,14.734086788880054,4080.10862521318,0.00016164909066514332,0.9999709035869891,3.4119628956555585
10,0.1,0.8,16,-1,0,GA,15.558245037565282,4377.649638528441,0.00017964684642324377,0.9999676640904606,2.594623803964133
10,0.1,0.8,16,-1,1,HEFT,19.6831153502865,5563.764348812289,0.00023056927668698733,0.9999584983914119,4.703369431490732
10,0.1,0.8,16,-1,1,GA,20.747784592804088,5861.328152139045,0.0002426038127029277,0.9999563322671768,3.687558380588577
10,0.1,0.8,16,-1,2,HEFT,20.96644505433871,6145.795921776796,0.0002739326190366619,0.9999506933441866,3.7592545794794736
10,0.1,0.8,16,-1,2,GA,21.18125585278236,6222.022680186712,0.0002784523974744831,0.9999498798245127,3.1244903502473593
10,0.1,0.8,32,-1,0,HEFT,17.464146234799713,8429.851485174955,0.00022268983604804477,0.9999599166328706,2.7950496116747314
10,0.1,0.8,32,-1,0,GA,18.417150116875305,8867.154893322031,0.00023190817163332237,0.9999582574003525,2.2465592753891164
10,0.1,0.8,32,-1,1,HEFT,17.769567061366544,8625.136876732251,0.00023276784562887572,0.9999581026655046,2.84024001177698
10,0.1,0.8,32,-1,1,GA,18.553828754280357,9035.094002577545,0.00024682477531445585,0.9999555725273727,2.1382501390306046
10,0.1,0.8,32,-1,2,HEFT,16.05274355595853,7554.78215211455,0.00017965486132125,0.9999676626478256,2.342375711634215
10,0.1,0.8,32,-1,2,GA,20.433089644881598,9576.930073414878,0.00022359478679332616,0.9999597537482793,2.099395540996447
10,0.1,1,4,-1,2,HEFT,17.774845291923935,2594.1078207855385,0.0002249244504874922,0.9999595144184757,0.5891605831902332
10,0.1,1,4,-1,2,GA,21.639448409013475,2674.5332874293,0.00021134880669207404,0.9999619579384129,4.029534218304232
10,0.1,1,8,-1,0,HEFT,22.739418852659362,4460.988081567857,0.00029431574569929703,0.9999470245690217,5.212754823342697
10,0.1,1,8,-1,0,GA,22.739418852659362,4428.871172378411,0.00029016627422779223,0.999947771434598,5.558467652277852
10,0.1,1,8,-1,1,HEFT,17.68913245419371,3407.694308386683,0.00022087049002378383,0.9999602441020823,4.406036467036804
10,0.1,1,8,-1,1,GA,19.02465116060715,3612.7512257600647,0.0002307990587004881,0.9999584570323671,3.827036884987668
10,0.1,1,8,-1,2,HEFT,16.579163390620742,3456.0095492599476,0.00024087982735921916,0.9999566425710361,3.7769496690954165
10,0.1,1,8,-1,2,GA,19.957536016907063,3754.5267958130016,0.00023754565092893066,0.9999572426969524,3.5562590296156844
10,0.1,1,16,-1,0,HEFT,17.709723104474964,5227.863261025392,0.0002361235691170799,0.9999574986607661,4.965396088848715
10,0.1,1,16,-1,0,GA,22.188709237363625,6471.80996758282,0.0002857335651174424,0.9999485692808835,3.489793584651239
10,0.1,1,16,-1,1,HEFT,12.689316158139121,4011.361377520299,0.00020349000971028265,0.9999633724690568,2.531134756118088
10,0.1,1,16,-1,1,GA,15.201147633018198,4708.445497947303,0.0002312435597426109,0.9999583770255066,2.7756574221511823
10,0.1,1,16,-1,2,HEFT,16.820340435346473,4763.691731010147,0.0001982152929487888,0.9999643218837484,3.4963444434807083
10,0.1,1,16,-1,2,GA,18.544729839831305,5300.88010076869,0.0002248439239691317,0.999959528912662,3.2402231997705004
10,0.1,1,32,-1,1,HEFT,14.893910807420184,7044.409665972026,0.00017120774107528102,0.9999691830814575,2.2602363424078487
10,0.1,1,32,-1,1,GA,17.62702257455002,8435.720000913596,0.0002153673555925568,0.9999612346273898,2.0732298621404017
10,0.1,1,32,-1,2,HEFT,12.583244311364862,5965.20306495244,0.00014641308131632224,0.9999736459926362,2.0439708736422255
10,0.1,1,32,-1,2,GA,15.05504467409233,7104.5217368388585,0.00017097992015341145,0.9999692240879607,1.6898141130521667
10,0.1,2,4,-1,0,HEFT,15.103009947503736,2712.455998498266,0.00025678443424006293,0.9999537798700201,2.3528100001109777
10,0.1,2,4,-1,0,GA,15.103009947503736,2596.4039174240934,0.0002417906253157512,0.9999564786345253,4.947790084930775
10,0.1,2,4,-1,1,HEFT,16.679906843633315,3180.35295025275,0.00030745703123492905,0.9999446592657327,2.139089135837918
10,0.1,2,4,-1,1,GA,17.60703054556093,3110.290798341281,0.00029265546927058865,0.9999473234029921,4.283781313045848
10,0.1,2,4,-1,2,HEFT,15.66863831713455,3213.427648514305,0.00031800168078706034,0.9999427613356532,1.0041608867207168
10,0.1,2,4,-1,2,GA,17.783331088263203,3105.4278190683635,0.0002909338406759341,0.9999476332798631,4.924449594874104
10,0.1,2,8,-1,0,HEFT,10.078690974938688,2431.592832122325,0.00018915226079175852,0.999965953172664,3.1549192746067423
